Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
Been You,Justin Bieber,canadian pop,2015,74,78,86,2,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,76,89,78,2,58
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,69,48,28,37,56
Heroes (we could be),Alesso,big room,2015,52,75,35,4,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,47,60,4,33,55
Perfect,One Direction,boy band,2015,65,82,40,6,55
Ghosttown,Madonna,dance pop,2015,54,55,9,4,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,60,87,59,5,54
Bloodstream,Ed Sheeran,pop,2015,48,59,27,20,52
Living For Love,Madonna,dance pop,2015,67,79,39,4,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,69,55,26,1,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,57,82,66,6,52
Steal My Girl,One Direction,boy band,2015,47,76,52,0,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,68,85,93,1,50
We Are Here,Alicia Keys,hip pop,2015,64,67,8,43,49
St Jude,Florence + The Machine,art pop,2015,26,43,9,75,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,57,78,28,2,46
Time of Our Lives,Pitbull,dance pop,2015,72,80,72,9,45
Sparks,Hilary Duff,dance pop,2015,85,88,79,4,44
Mr. Put It Down,Ricky Martin,dance pop,2015,80,78,83,1,42
Legendary Lovers,Katy Perry,dance pop,2015,62,84,39,2,41
Spark The Fire,Gwen Stefani,dance pop,2015,88,80,54,8,39
Run Run Run,Kelly Clarkson,dance pop,2015,28,37,8,45,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,72,90,88,1,34
Dangerous,Jennifer Hudson,dance pop,2015,90,53,65,0,18
L.A.LOVE (la la),Fergie,dance pop,2015,48,39,27,2,0
The Hills,The Weeknd,canadian contemporary r&b,2016,58,56,14,7,84
Love Yourself,Justin Bieber,canadian pop,2016,61,38,52,84,83
Cake By The Ocean,DNCE,dance pop,2016,77,75,90,15,81
Don't Let Me Down,The Chainsmokers,electropop,2016,53,87,42,16,81
In the Name of Love,Martin Garrix,big room,2016,50,52,17,11,81
Into You,Ariana Grande,dance pop,2016,62,73,37,2,80
This Is What You Came For,Calvin Harris,dance pop,2016,63,93,47,20,80
Million Reasons,Lady Gaga,dance pop,2016,67,42,15,49,80
Needed Me,Rihanna,barbadian pop,2016,67,31,30,11,80
7 Years,Lukas Graham,danish pop,2016,77,47,34,29,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,67,83,70,1,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,80,59,59,10,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,57,74,45,3,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,63,53,42,40,79
Work,Rihanna,barbadian pop,2016,73,53,56,8,78
Stitches,Shawn Mendes,canadian pop,2016,75,75,76,2,78
"Me, Myself & I",G-Eazy,hip hop,2016,76,67,38,2,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,66,71,69,4,78
Dangerous Woman,Ariana Grande,dance pop,2016,66,60,29,5,78
Starving,Hailee Steinfeld,dance pop,2016,73,62,51,38,78
Shout Out to My Ex,Little Mix,dance pop,2016,77,75,80,2,77
Electric Love,BØRNS,electropop,2016,61,80,52,1,76
Confident,Demi Lovato,dance pop,2016,59,75,34,0,75
Too Good,Drake,canadian hip hop,2016,79,65,39,5,74
Roses,The Chainsmokers,electropop,2016,71,80,34,4,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,61,80,50,7,73
Me Too,Meghan Trainor,dance pop,2016,93,69,84,10,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,75,88,75,4,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,76,68,82,5,72
Close,Nick Jonas,dance pop,2016,65,62,40,25,72
Toothbrush,DNCE,dance pop,2016,55,79,82,12,72
All We Know,The Chainsmokers,electropop,2016,66,59,30,10,72
Final Song,MØ,dance pop,2016,70,67,25,1,72
Company,Justin Bieber,canadian pop,2016,59,80,43,13,72
Hands To Myself,Selena Gomez,dance pop,2016,81,50,47,1,71
All I Ask,Adele,british soul,2016,59,28,34,88,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,63,70,50,1,71
NO,Meghan Trainor,dance pop,2016,56,80,65,1,70
